Repeat, dataset, non-iid-strategy, normalize, sample_size, B, C, E, beta1, beta2, eta, max_rounds, mu, name, opt_name, sparsity, tau, embedding_dim, hidden_units, loss, metrics, name, lr, enable_gpu, num_containers, num_gpu, central_train$$test_accuracy, best_metric$$test_binary_accuracy, total_time, total_rounds, server_send, server_receive, time_detail
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.01, True, 20, 2, NA(NA), 0.51250(0.00000), 16.50000(0.00000), 100.00000(0.00000), 25.49905(0.00000), 34.55252(0.00000), 0.02659(0.00000), 0.13836(0.00000), 1.07997(0.00000), 0.14103(0.00000), 0.02468(0.00000), 0.52720(0.00000), 0.01895(0.00000), 0.00306(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.03, True, 20, 2, NA(NA), 0.77850(0.00000), 16.48333(0.00000), 100.00000(0.00000), 25.50014(0.00000), 34.55228(0.00000), 0.02726(0.00000), 0.13731(0.00000), 1.07861(0.00000), 0.14256(0.00000), 0.02502(0.00000), 0.52810(0.00000), 0.02002(0.00000), 0.00322(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.05, True, 20, 2, NA(NA), 0.87567(0.00000), 16.55000(0.00000), 100.00000(0.00000), 25.49983(0.00000), 34.55305(0.00000), 0.02698(0.00000), 0.13859(0.00000), 1.08388(0.00000), 0.14396(0.00000), 0.02557(0.00000), 0.53016(0.00000), 0.01937(0.00000), 0.00306(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.07, True, 20, 2, NA(NA), 0.89967(0.00000), 16.50000(0.00000), 100.00000(0.00000), 25.50143(0.00000), 34.55335(0.00000), 0.02684(0.00000), 0.13719(0.00000), 1.07986(0.00000), 0.14142(0.00000), 0.02501(0.00000), 0.52897(0.00000), 0.01968(0.00000), 0.00285(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.09, True, 20, 2, NA(NA), 0.90700(0.00000), 16.51667(0.00000), 100.00000(0.00000), 25.50043(0.00000), 34.55411(0.00000), 0.02698(0.00000), 0.13888(0.00000), 1.08132(0.00000), 0.14774(0.00000), 0.02536(0.00000), 0.52819(0.00000), 0.01927(0.00000), 0.00319(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.1, True, 20, 2, NA(NA), 0.90583(0.00000), 16.48333(0.00000), 100.00000(0.00000), 25.49955(0.00000), 34.55194(0.00000), 0.02675(0.00000), 0.13813(0.00000), 1.08056(0.00000), 0.14233(0.00000), 0.02429(0.00000), 0.52537(0.00000), 0.01908(0.00000), 0.00320(0.00000)
2, femnist, natural, True, None, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.0005, True, 20, 2, 0.42659(0.38345), 0.02148(0.00003), 39.97500(0.07500), 1.00000(0.00000), 0.40507(0.00006), 0.54790(0.00009), 0.03140(0.01970), 23.77638(0.04545), 0.01173(0.00009), 0.01523(0.00022), 0.01248(0.00083), 0.19550(0.00072), 0.02043(0.00006), 0.00596(0.00030)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.3, True, 20, 2, NA(NA), 0.93950(0.00000), 16.45000(0.00000), 100.00000(0.00000), 25.49895(0.00000), 34.55202(0.00000), 0.02704(0.00000), 0.13759(0.00000), 1.07795(0.00000), 0.14138(0.00000), 0.02553(0.00000), 0.52614(0.00000), 0.01980(0.00000), 0.00309(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.5, True, 20, 2, NA(NA), 0.94417(0.00000), 16.48333(0.00000), 100.00000(0.00000), 25.50034(0.00000), 34.55255(0.00000), 0.02694(0.00000), 0.13830(0.00000), 1.07867(0.00000), 0.14182(0.00000), 0.02529(0.00000), 0.52784(0.00000), 0.01993(0.00000), 0.00352(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.7, True, 20, 2, NA(NA), 0.95283(0.00000), 16.50000(0.00000), 100.00000(0.00000), 25.49895(0.00000), 34.55207(0.00000), 0.02760(0.00000), 0.13850(0.00000), 1.07845(0.00000), 0.13974(0.00000), 0.02549(0.00000), 0.53217(0.00000), 0.01990(0.00000), 0.00329(0.00000)
